road_name,road_type,longitude,latitude
River View Road,tertiary,80.1773783,13.016518
Purasawalkam High Road,primary,80.2504524,13.0858951
Rizwan Road,tertiary,80.2436058,13.1384475
Chinna Sekkadu Road,tertiary,80.2586701,13.1635656
Chakrapani Street Ext,tertiary,80.2225066,13.0456715
Kilpauk Garden Road,secondary,80.2255302,13.0833658
,tertiary,80.2117974,13.0772514
7th Main Road,tertiary,80.2121822,13.0794229
21st Main Road,tertiary,80.206474,13.0927007
Annasalai Street,tertiary,80.2340865,13.0310841
South Usman Road,tertiary,80.2302661,13.0351877
Pasumpon Muthuramalingar Thevar Salai,tertiary,80.2527039,13.0245824
,tertiary,80.2493366,13.0811755
UI Colony 1st Main Road,secondary,80.2278314,13.0539324
,tertiary,80.2213394,13.0463467
Kannadasan Street,tertiary,80.2225785,13.0460911
Railway Border Road,tertiary,80.2285242,13.0412195
North Usman Road,secondary,80.2327276,13.0460119
Cart Track Road,tertiary,80.2213394,13.0463467
Rathnammal Street,secondary,80.2215145,13.0478996
Chakrapani Street,tertiary,80.2256999,13.0448835
Veerasamy Street,tertiary,80.224747,13.0414755
Mahadevan Street,tertiary,80.2210435,13.0382879
Lake View Road,tertiary,80.2208553,13.0353837
Postal Colony 3rd Street,secondary,80.2188628,13.0359889
Ellaiamman Koil Street,tertiary,80.2223651,13.0349284
Eashwaran Koil Street,tertiary,80.2247842,13.0347396
Madley Road,tertiary,80.2249434,13.0356758
Paper Mills Road,secondary,80.242022,13.1084688
Tank Bund Road,secondary,80.2422805,13.1096122
Perambur High Road,primary,80.2533631,13.10483
EVK Sampath Salai,secondary,80.2635124,13.088607
Besant Nagar 2nd Avenue,secondary,80.2670076,12.99952
Perungudi Station Road,tertiary,80.2308512,12.9753697
Pillayar koil street,tertiary,80.2121142,13.0025385
Cart Track Road,tertiary,80.2104953,12.9973492
,tertiary,80.2107792,12.999357
TNHB Main Road,tertiary,80.2095885,12.9906048
Inner Ring Road (Southern Sector),primary,80.1954013,12.9892144
,tertiary,80.2135109,13.0399008
West Sivan Koil Street,primary,80.2118701,13.049848
Kumaran Colony Main Road,tertiary,80.2074086,13.0490675
Nerkundrampadai Road (West),tertiary,80.2092553,13.0547414
,tertiary,80.2037285,13.043174
Inner Ring Road,primary,80.2103689,13.0351031
1st Main Road,tertiary,80.2501487,12.9733802
Subramanya Nagar Street Road,tertiary,80.2402348,12.9473656
,tertiary,80.2473859,12.9461608
Rajiv Gandhi Salai,primary,80.2416182,12.9515257
,tertiary,80.2350759,12.9551696
,tertiary,80.1971548,12.9887147
16th Avenue,tertiary,80.2085318,13.0387459
91st Street,tertiary,80.210856,13.0426539
South Mada Street,tertiary,80.2617658,12.9828731
Binny Road,primary,80.2020426,13.0073801
Kumaran Colony Main Road,tertiary,80.2075268,13.0519988
Dhran Singh Colony 1st Street,tertiary,80.2076974,13.0549758
Sayee Nagar 6th Street,tertiary,80.1955253,13.0598833
Vinayagam Street,tertiary,80.1939434,13.0568172
Velachery MRTS Bridge,primary,80.2164408,12.9647758
Velachery Main Road,secondary,80.221206,12.9775013
Anna Flyover,primary,80.2524389,13.0533394
Mayor Sundar Rao Street,tertiary,80.247566,13.0495744
Music Academy Flyover,primary,80.2577345,13.0457604
,primary,80.2570293,13.0460013
Dr Radhakrishnan Salai,primary,80.2623368,13.044974
d'Silva Road,tertiary,80.2605347,13.0377933
Anna Salai (Mount Road),primary,80.2499002,13.0498371
Raja Muthiah Road,secondary,80.2709194,13.0809633
Muthuswamy Road,primary,80.281023,13.0815726
Frazer Bridge Road,tertiary,80.2841821,13.0853242
Muthuswamy Road,primary,80.2853397,13.0736861
Esplanade,secondary,80.2852912,13.0884768
Pallavan Salai,secondary,80.2754935,13.0816317
Netaji Subhash Chandra Bose Road,secondary,80.2902607,13.0886173
Sunnambu Kolathur,tertiary,80.1989335,12.9485037
,secondary,80.2651477,13.0803737
Raja Annamalai Road,primary,80.2546809,13.0789975
Taravath Madhavan Nair Bridge Road,secondary,80.2581603,13.0754732
EVR Periyar Salai,primary,80.2706397,13.0807831
EVK Sampath Salai,tertiary,80.2628257,13.0801904
